#BUILDINGS *
#building_id;building_name
1;Skólavörðuholt
2;Vörðuskóli
3;Háteigsvegur

#CLASSROOMS *
#building_id;classroom_id;classroom_name
1;101
1;102
1;103
1;104
1;105
1;106
1;107
1;108
1;109
1;201
1;202
1;203
1;204
1;205
1;206
1;207
1;208
1;209
1;301
1;302
1;303
1;304
1;305
1;306
1;307
1;308
1;309
1;401
1;402
1;403
1;404
1;405
1;406
1;407
1;408
1;409
1;501
2;610
2;611
2;612
2;613
2;614
2;615
2;616
2;617
2;618
2;619
2;620
2;621
2;622
2;623
2;624
2;625
2;626
2;627
2;628
2;629
2;630
2;631
2;632
2;633
2;634
2;635
2;636
2;637
2;638
2;639
3;H Raungreinastofa

#TIMES *
#building_id;classroom_name;time_from;time_to;day_id
1;101;10:30;12:30;1
1;101;08:10;10:10;2
1;102;08:10;10:10;5

# * DO NOT REMOVE!
